,P09172,P0DMS8,P14416,P15101,P18901,P19020,P20288,P21728,P21917,P21918,P22102,P23977,P25021,P25099,P27922,P28190,P29274,P29275,P29276,P30542,P30543,P31389,P31390,P32298,P34947,P35367,P35462,P43249,P43250,P46093,P47745,P47747,P49892,P55263,P61168,P61169,P9WID5,Q01959,Q05754,Q4KLH9,Q60612,Q60613,Q60614,Q61327,Q61616,Q64640,Q64737,Q8BUD0,Q91ZY2,Q95136,Q96NT5,Q9GJT6,Q9H3N8,Q9JI35,Q9QYN8,Q9Y5N1
Q60612,0.014268082,0.269133286,0.058299156,0.014348401,0.043902153,0.038737194,0.062116786,0.046484633,0.047991469,0.054964971,0.011153873,0.013149581,0.069142735,0.972809668,0.013465207,0.877643505,0.255400338,0.255998351,0.261986616,0.922960725,0.249276346,0.043190001,0.045750333,0.012477559,0.012351943,0.051880326,0.04773765,0.012351943,0.01249887,0.027219848,0.918429003,0.073464156,0.72424575,0.014326236,0.054352187,0.054352187,0.018181902,0.013139141,0.013139141,0.027109572,1,0.253318665,0.263483683,0.013149581,0.043902153,0.014345741,0.012011863,0.027109572,0.028965435,0.046484633,0.014004117,0.013139141,0.040050359,0.027146015,0.025853348,0.028438682
Q60613,0.013706217,0.17186705,0.053158769,0.010829794,0.039160944,0.048375284,0.056562832,0.042616322,0.055889051,0.035657479,0.008418648,0.011729494,0.083519138,0.256013545,0.015706736,0.253318665,0.73381506,0.357884742,0.363226305,0.254666105,0.943509615,0.037424966,0.030882887,0.014165514,0.013021268,0.034157213,0.051098672,0.013021268,0.014189707,0.023002336,0.254666105,0.07067004,0.225705354,0.014056983,0.050791115,0.050791115,0.017569878,0.010743499,0.012696863,0.021636415,0.253318665,1,0.380586386,0.011729494,0.039160944,0.014076121,0.008418648,0.021636415,0.025837315,0.042616322,0.018169809,0.010743499,0.025869917,0.029979713,0.028826647,0.028826647
Q60614,0.014140496,0.195498533,0.070617361,0.014220097,0.038390804,0.069103447,0.067973973,0.048628352,0.067379963,0.04704527,0.011904452,0.020633996,0.117062613,0.263483683,0.01642437,0.267974882,0.382339185,0.820474777,0.93768546,0.267974882,0.380586386,0.040357862,0.042890353,0.012365984,0.012241491,0.046519608,0.07299377,0.012241491,0.012387105,0.025556634,0.255998351,0.102786685,0.237254354,0.01419813,0.067973973,0.067973973,0.018019318,0.019532475,0.01302165,0.029695278,0.263483683,0.380586386,1,0.020633996,0.043509578,0.015639206,0.011904452,0.029695278,0.032807342,0.051187739,0.026496066,0.019532475,0.032848739,0.060212089,0.057649872,0.057649872
Q61327,0.010350332,0.01553,0.011277677,0.010408597,0.011240272,0.012176961,0.011265168,0.012176961,0.01353874,0.010874348,0.012448041,0.988871224,0.014629249,0.013149581,0.707046498,0.013149581,0.018527215,0.017375996,0.020633996,0.013149581,0.013684409,0.011637165,0.011660698,0.01398861,0.01058948,0.011648914,0.012862489,0.01058948,0.011539707,0.016628028,0.013149581,0.014629249,0.012090365,0.011431769,0.011265168,0.011265168,0.016486862,0.883240946,0.008737096,0.015525621,0.013149581,0.011729494,0.020633996,1,0.011240272,0.011447333,0.00933603,0.015525621,0.012006894,0.012176961,0.016623567,0.883240946,0.013023882,0.013128149,0.013128149,0.013128149
Q61616,0.012196367,0.033985447,0.07419753,0.010378097,0.966887417,0.078366446,0.075221423,0.864238411,0.05127893,0.390822274,0.008800928,0.011240272,0.073879077,0.043902153,0.011510069,0.043902153,0.034471011,0.044789271,0.044789271,0.051649592,0.039160944,0.04324779,0.042278291,0.010665827,0.011518309,0.043291453,0.074617013,0.011518309,0.01165532,0.023267547,0.047775873,0.082498303,0.044035392,0.013470685,0.07632762,0.07632762,0.025903172,0.012167293,0.010295402,0.024392929,0.043902153,0.039160944,0.043509578,0.011240272,1,0.013489025,0.009534339,0.024392929,0.030654836,0.876379691,0.014147226,0.012167293,0.027151958,0.034254165,0.035359138,0.035359138
Q64640,0.013550226,0.01452231,0.013533914,0.013626505,0.013489025,0.01226275,0.013518901,0.013489025,0.012660257,0.01186354,0.010592699,0.011447333,0.013680006,0.014345741,0.009836728,0.015780315,0.014042406,0.015639206,0.015639206,0.015780315,0.014076121,0.010547236,0.010568565,0.011849789,0.011730492,0.014077179,0.012953107,0.015996126,0.014028214,0.012244909,0.014345741,0.013680006,0.014389279,0.829932741,0.013518901,0.013518901,0.021583918,0.010398404,0.017677287,0.012195301,0.014345741,0.014076121,0.015639206,0.011447333,0.013489025,1,0.009777876,0.012195301,0.014409019,0.013489025,0.013299542,0.010398404,0.019673455,0.019642092,0.020869723,0.020869723
Q64737,0.008104121,0.010422606,0.008830216,0.008776645,0.009534339,0.008800928,0.008820421,0.008800928,0.009843402,0.008514416,0.796296296,0.009958432,0.012272609,0.012011863,0.008236411,0.012011863,0.008398483,0.011904452,0.011904452,0.012011863,0.009949311,0.009111688,0.010534747,0.007731407,0.008291369,0.00841928,0.010071094,0.008291369,0.007744612,0.012205728,0.012011863,0.009818087,0.011187724,0.010578297,0.008085386,0.008085386,0.011187724,0.009950526,0.006840987,0.010535441,0.012011863,0.008418648,0.011904452,0.00933603,0.009534339,0.009777876,1,0.008914604,0.008617747,0.008067517,0.009400408,0.009950526,0.010197462,0.00954488,0.010279101,0.012481766
Q8BUD0,0.013476981,0.020221335,0.031816334,0.016680428,0.023173282,0.019514343,0.030558694,0.029271514,0.031479556,0.024778765,0.008914604,0.015525621,0.02993333,0.034243669,0.018588756,0.029963211,0.019045228,0.035351521,0.026867156,0.03139003,0.021636415,0.038464151,0.032702248,0.015000027,0.011667084,0.029168927,0.021901253,0.011667084,0.018245427,0.85521679,0.027109572,0.025851513,0.037209895,0.01217872,0.029336346,0.029336346,0.018604948,0.015513294,0.011376416,0.98787062,0.027109572,0.021636415,0.029695278,0.015525621,0.024392929,0.012195301,0.008914604,1,0.018239622,0.029271514,0.020442736,0.015513294,0.023480534,0.025640892,0.025640892,0.023198902
Q91ZY2,0.011023859,0.041888494,0.035488672,0.012093727,0.023580643,0.047161286,0.034267662,0.031833868,0.019476023,0.023953632,0.008617747,0.012006894,0.044720122,0.028965435,0.011349315,0.026206822,0.022093225,0.041009177,0.032807342,0.028965435,0.02952836,0.031549461,0.029355172,0.010357518,0.01127857,0.025941793,0.068497453,0.01127857,0.011412729,0.024854466,0.028965435,0.046035419,0.02766985,0.014389428,0.034267662,0.034267662,0.017985402,0.011997361,0.011997361,0.019542452,0.028965435,0.025837315,0.032807342,0.012006894,0.030654836,0.014409019,0.008617747,0.018239622,1,0.031833868,0.016274581,0.011997361,0.540984037,0.164066659,0.169968337,0.15816498
Q95136,0.013134549,0.033985447,0.07419753,0.010378097,0.873068433,0.087196468,0.074115226,0.917218543,0.054697525,0.396161377,0.008800928,0.012176961,0.089886211,0.046484633,0.012395459,0.046484633,0.040216179,0.047348658,0.048628352,0.054232072,0.042616322,0.048521911,0.044392205,0.010665827,0.01055845,0.044347342,0.078114686,0.01055845,0.01165532,0.02694137,0.050358352,0.104662026,0.04662571,0.013470685,0.074115226,0.074115226,0.020722538,0.012167293,0.010295402,0.029271514,0.046484633,0.042616322,0.051187739,0.012176961,0.876379691,0.013489025,0.008067517,0.029271514,0.031833868,1,0.014147226,0.012167293,0.028332477,0.036464111,0.037569084,0.037569084
Q96NT5,0.011100039,0.019331566,0.014194305,0.013022946,0.015235474,0.015235474,0.01417856,0.014147226,0.025841066,0.014739488,0.009400408,0.016623567,0.018210321,0.014004117,0.013967243,0.014004117,0.018126288,0.027757783,0.022710913,0.014004117,0.018169809,0.019760131,0.01563165,0.011472003,0.009463758,0.014574796,0.016093187,0.012302886,0.012449229,0.020525893,0.017823422,0.021852386,0.017877514,0.01328146,0.01417856,0.01417856,0.016600549,0.011996377,0.011073579,0.020442736,0.014004117,0.018169809,0.026496066,0.016623567,0.014147226,0.013299542,0.009400408,0.020442736,0.016274581,0.014147226,1,0.011996377,0.016295117,0.020699575,0.021789026,0.020699575
Q9GJT6,0.011137661,0.01551767,0.011268723,0.010400333,0.012167293,0.012167293,0.012194242,0.013103239,0.012561706,0.011771191,0.011816249,0.881652383,0.016705867,0.013139141,0.72675622,0.013139141,0.015589478,0.016277063,0.019532475,0.013139141,0.010743499,0.011627926,0.012547705,0.013977503,0.010581072,0.011639665,0.012852277,0.010581072,0.011530545,0.0155764,0.013139141,0.016705867,0.012080766,0.010384266,0.012194242,0.012194242,0.013179017,0.983333333,0.008730159,0.015513294,0.013139141,0.010743499,0.019532475,0.883240946,0.012167293,0.010398404,0.009950526,0.015513294,0.011997361,0.012167293,0.011996377,1,0.013013541,0.013117726,0.012180745,0.014054706
Q9H3N8,0.01404807,0.054523755,0.034349004,0.012108987,0.023610398,0.041318196,0.034310902,0.027151958,0.021938173,0.020557592,0.008628621,0.013023882,0.035557849,0.040050359,0.014204545,0.034526171,0.023350053,0.039692226,0.034217436,0.037288265,0.025869917,0.038358401,0.031653152,0.010370588,0.011292801,0.030491836,0.04489127,0.011292801,0.01142713,0.023576048,0.031764078,0.036874807,0.037401432,0.018336926,0.030761499,0.030761499,0.016622859,0.013013541,0.0120125,0.023480534,0.040050359,0.025869917,0.032848739,0.013023882,0.027151958,0.019673455,0.010197462,0.023480534,0.540984037,0.028332477,0.016295117,0.013013541,1,0.173728284,0.161910033,0.152455432
Q9JI35,0.012209851,0.032714443,0.033259505,0.014167597,0.034254165,0.034254165,0.033222612,0.034254165,0.062743539,0.039553037,0.010279101,0.013128149,0.03328234,0.027146015,0.012409163,0.02973135,0.029907905,0.052525439,0.056368764,0.027146015,0.031132779,0.044351595,0.037034404,0.012619004,0.011531044,0.040168146,0.042018474,0.011531044,0.012640557,0.023293271,0.027146015,0.022188227,0.022042039,0.015937501,0.031007771,0.031007771,0.019448858,0.013117726,0.011243765,0.025640892,0.027146015,0.029979713,0.060212089,0.013128149,0.034254165,0.019642092,0.00954488,0.025640892,0.164066659,0.036464111,0.020699575,0.013117726,0.173728284,1,0.912610619,0.896017699
Q9QYN8,0.012209851,0.030097288,0.037694106,0.013223091,0.035359138,0.038674057,0.040974554,0.035359138,0.059321164,0.044898041,0.010279101,0.013128149,0.03328234,0.025853348,0.012409163,0.028438682,0.029907905,0.049963223,0.053806548,0.025853348,0.029979713,0.045407585,0.039150655,0.012619004,0.011531044,0.042282259,0.046687193,0.011531044,0.012640557,0.020841348,0.025853348,0.022188227,0.02463522,0.015937501,0.038759714,0.038759714,0.022042039,0.012180745,0.011243765,0.025640892,0.025853348,0.028826647,0.057649872,0.013128149,0.035359138,0.020869723,0.010279101,0.025640892,0.169968337,0.037569084,0.021789026,0.012180745,0.161910033,0.912610619,1,0.908185841
Q9Y5N1,0.012209851,0.034023021,0.038802756,0.012278584,0.035359138,0.037569084,0.038759714,0.035359138,0.065025122,0.042760039,0.012481766,0.013128149,0.03451502,0.028438682,0.014181901,0.031024017,0.026456993,0.049963223,0.053806548,0.028438682,0.029979713,0.041183624,0.035976278,0.012619004,0.011531044,0.039111089,0.045520013,0.011531044,0.012640557,0.022067309,0.028438682,0.023420906,0.02463522,0.015937501,0.036544873,0.036544873,0.022042039,0.014054706,0.011243765,0.023198902,0.028438682,0.028826647,0.057649872,0.013128149,0.035359138,0.020869723,0.012481766,0.023198902,0.15816498,0.037569084,0.020699575,0.014054706,0.152455432,0.896017699,0.908185841,1
